FMID|MarketName|Website|Street|City|County|State|Zip|Schedule|x|y|Location|Credit|WIC|WICcash|SFMNP|SNAP|Bakedgoods|Cheese|Crafts|Flowers|Eggs|Seafood|Herbs|Vegetables|Honey|Jams|Maple|Meat|Nursery|Nuts|Plants|Poultry|Prepared|Soap|Trees|Wine|updateTime
22004667|Arroyo Grande Spencers CFM||1464 E. Grand Avenue|Arroyo Grande|SAN LUIS OBISPO|California|||-120.606|35.1221||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
22004668|Art N Harvest Market|http://www.keepputnambeautiful.org|500 Reid Street|Palatka|Putnam|Florida|32177||-81.6332|29.6481||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
22003214|Arthur Produce Auction||354 N Cr-100 E|Arthur||Illinois|61911||-88.4518|39.7033||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22004427|Artisan Gift and Farmers Market||Bear Canyon Shopping Center, (East Tanque Verde Rd. & Catalina Hwy.)|TUCSON|Pima County|Arizona|||-110.799|32.2579||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
1003314|Asbury Park Carousel Farmers' Market||First and Ocean Avenue|Asbury Park|Monmouth|New Jersey|7712|June - October Thursday 4:00 PM to 7:00 PM, (Depending on the weather many thursdays we remain open later in the evening)|-74.0007788|40.219339||Y|N|Y|N|N|Y|N|N|Y|Y|N|Y|Y|Y|Y|N|N|N|N|Y|N|N|Y|N|Y|5/16/2012 10:18:53 AM
22003755|Ashboro Downtown Farmers Market||134 South Church Street|Asheboro|Randolph|North Carolina|28801||-79.8175|35.7049||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22003198|Ashburn (Chicago) Farmers Market|http://www.cityofchicago.org/specialevents|6700 S. Kedzie Ave.|Chicago|Cook|Illinois|60629||-87.626|41.8851||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
21001386|Ashburn Farmers Market|http://www.loudounfarmersmarkets.org|44036 Pipeline Plaza|Ashburn|Loudoun|Virginia|20147|January - December Saturday 8:00 am to 12:00 pm|-77.478|39.0219|Private business parking lot|N|N|N|N|N|Y|N|N|Y|N|N|Y|Y|Y|Y|N|Y|N|N|Y|N|N|N|N|N|4/8/2011 7:13:05 PM
22004015|Ashburnham Farmers Market||32 Main St|Ashburnham||Massachusetts|1430||-71.9098|42.6372||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22004016|Ashby Farmers Market||Town Common, Main Street, Rte 119|Ashby||Massachusetts|1431||-71.8208|42.6778||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22002396|Ashdown Farmers Market||Block of East Main St.|Ashdown|Little River|Arkansas|71822||-94.131|33.6747||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1000517|Ashe County Farmers Market||108 Backstreet|West Jefferson|Ashe|North Carolina|28694|April - December Wednesday 8:00 AM to 1:00 PM, Saturday 8:00 AM to 1:00 PM, (The Saturday Market will be April - December. and the Wednesday Market will open July 11, 2012 - September 2012.)|-81.493514|36.402494|Local government building grounds|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|N|4/25/2012 12:37:43 PM
1003197|Asheville City Market|http://www.asapconnections.org/citymarket.html|161 South Charlotte St.|Asheville|Buncombe|North Carolina|28801|April - November Saturday 8:00 AM to 1:00 PM December Saturday 10:00 AM to 1:00 PM|-82.5486|35.5937|Local government building grounds|Y|N|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|5/15/2012 11:00:27 AM
1001149|Ashfield Farmers Market|http://ashfieldfarmersmarket.com|Ashfield Town Common|Ashfield|Franklin|Massachusetts|1330|May - October Saturday 8:30 AM to 12:30 PM|-72.790325|42.525744||N|Y|N|N|N|Y|Y|N|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|N|Y|N|Y|N|N|Y|4/26/2012 8:53:02 PM
22003980|ASHFORD FARMERS’ MARKET||Pompey Hollow Park, across from the Town Hall|Ashford|Windham|Connecticut|||-72.1646|41.8663||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22002059|Ashland Area Farmers Market||200th Block Chapple Ave|Ashland|Ashland|Wisconsin|54846||-90.8907|46.5882||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1004609|Ashland Farmers Market|http://www.AshlandFarmersMarket.org|125 Front Street|Ashland|Middlesex|Massachusetts|1721|June - October Saturday 9:00 AM to 1:00 PM, (June 9 thru October 20)|-71.461125|42.259924|Other|Y|Y|N|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|N|N|N|6/1/2012 7:47:02 PM
21006086|Ashland Farmers Market|http://www.facebook.com/AshlandFarmersMarket|101 Thompson St.|Ashland|Hanover|Virginia|23005|January - December Saturday 9:00 am to 12:00 pm|-77.4829|37.7586|Local government building grounds|N|N|N|N|N|Y|N|N|Y|N|N|Y|Y|Y|Y|N|Y|N|Y|Y|N|N|Y|N|N|6/8/2011 4:02:39 PM
1002491|Ashland Saturday Market|http://www.rvgrowersmarket.com|Oak Street|Ashland|Jackson|Oregon|97520|May - November Saturday 9:00 AM to 2:00 PM|-122.714|42.1974|Closed-off public street|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|N|Y|Y|N|Y|Y|Y|Y|Y|Y|5/7/2012 6:14:47 PM
22004529|Ashland Tuesday Market|http://www.rvgrowersmarket.com|1420 East Main|Ashland|Jackson|Oregon|97520||-122.692|42.1945||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
22001895|Ashland United Methodist Church Farmers Market|http://www.ashlandumc.com/gallery/seeds/seeds.htm|2600 Ashland Road|Columbia|Richland|South Carolina|29210||-81.1279|34.0412||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22003085|Ashley County Farmers Market||Highway 82|Crossett|Ashley|Arkansas|71635||-91.9664|33.1353||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22004483|Ashley Farmers Market||On East Main Street,|Ashley|McIntosh County|North Dakota|||-99.3684|46.0344||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
1003344|Ashley Valley Farmers' Market (Vernal)|http://avfarmersmarket.com|Old Dinosaur Gardens on Main Street (~240East)|Vernal|Uintah|Utah||July - September Saturday 8:00 AM to 12:00 PM|-109.5240916667|40.4557472222|Local government building grounds|Y|N|N|N|N|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|N|Y|N|N|N|Y|Y|Y|N|N|5/16/2012 12:57:23 PM
22001227|Ashotn Farmers Market|http://gardenshelper.blogspot.com|Off Main Street|Ashton|Fremont|Idaho|83420||-111.446|44.0714||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22000202|Aspen Saturday Market||East Hopkins and South Hunter|Aspen|Pitkin|Colorado|81611||-106.817|39.1894||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|May 4 2010 2:24PM
1003887|Astoria Greenmarket|http://www.grownyc.org|14 St - 31 Ave & 31 Rd|Queens|Queens|New York|11106|July - November Wednesday 8:00 AM to 3:00 PM|-73.932452|40.767672|Other|Y|Y|Y|Y|Y|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|5/22/2012 12:44:04 PM
1001573|Astoria Sunday Market|http://www.AstoriaSundayMarket.com|12th St.|Astoria|Clatsop|Oregon|97103|May Sunday 10:00 AM to 3:00 PM October Sunday 10:00 AM to 3:00 PM|-123.830144|46.189546|Closed-off public street|Y|Y|Y|N|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|N|N|Y|Y|Y|4/30/2012 1:14:04 PM
1003295|ASU Farmers Market|http://Www.arizonafarmersmarkets.com|300 E Orange Mall|Tempe|Maricopa|Arizona|85281|January - April Tuesday 9:00 AM to 2:00 PM, (Every other Tuesday during the season. ) September - December Tuesday 9:00 AM to 2:00 PM, (Every other Tuesday during the season. )|-111.9349065|33.418338|Federal/State government building grounds|N|Y|Y|Y|Y|Y|Y|N|Y|Y|N|Y|Y|Y|Y|N|N|N|N|N|N|N|Y|N|N|5/16/2012 3:38:18 AM
1001434|ASU Regional Farmers Market|http://www.asuregionalfarmersmarket.org|Aggie Road|Jonesboro|Craighead|Arkansas|72401|May Saturday 7:00 AM to 1:00 PM June - August Tuesday 2:00 PM to 6:00 PM, Thursday 2:00 PM to 6:00 PM, Saturday 7:00 AM to 1:00 PM September - October Saturday 7:00 AM to 1:00 PM|-90.66705|35.84095|Other|Y|Y|N|N|Y|Y|N|Y|Y|Y|N|Y|Y|Y|Y|N|Y|Y|Y|Y|N|Y|Y|Y|N|4/30/2012 10:24:22 AM
1003126|ASUEP Natchez Farmers Market||199 St. Catherine Street|Natchez|Adams|Mississippi|39120|January - May Thursday - Friday 9:00 AM to 6:00 PM, Saturday 9:00 AM to 1:00 PM June - November Tuesday - Friday 9:00 AM to 6:00 PM, Saturday 9:00 AM to 3:00 PM December Thursday - Friday 9:00 AM to 6:00 PM, Saturday 9:00 AM to 1:00 PM|-91.384921|31.556011|Other|Y|N|N|Y|N|Y|Y|Y|N|N|N|Y|Y|Y|Y|N|N|N|N|Y|N|N|N|N|N|5/14/2012 5:24:29 PM
22002420|Atascadero Farmers Market||Morro Road & El Camino Real|Paso Robles|San Luis Obispo|California|93447||-120.667|35.4882||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22002638|Atascadero Main Street CFM||Palma & Entrada|Atascadero|San Luis Obispo|California|93422||-120.669|35.4901||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1001992|Atchison Farmers Market|http://atchisonfarmersmarket.com|Between 4th & 6th on Main St.|Atchison|Atchison|Kansas|66002|April - October Wednesday 2:30 PM to 5:30 PM, Saturday 8:00 AM to 12:00 PM, (Saturday is main market day. Wednesday market is during peak production season,)|-95.119747|39.560806|Other|Y|N|N|Y|N|Y|N|N|Y|Y|N|Y|Y|Y|Y|N|N|Y|Y|Y|N|N|N|N|N|5/1/2012 12:53:22 PM
1000572|Athen Farmers Market||Wilson Park|Athens|Calhoun|Michigan|49011|June - September Friday 2:00 PM to 6:00 PM|-85.235|42.0885||N|N|N|Y|Y|Y|N|Y|Y|Y|N|N|Y|Y|N|N|N|Y|N|Y|N|N|N|Y|N|4/25/2012 1:19:40 PM
1000735|Athens Farmers Market|http://www.athensfarmersmarket.org|1000 East State Street|Athens|Athens|Ohio|45701|January - December Wednesday 10:00 AM to 1:00 PM, Saturday 10:00 AM to 1:00 PM, (Wenesday markets run from mid April through December)|-82.0584387|39.3359163|Private business parking lot|Y|Y|N|Y|Y|Y|Y|N|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|4/26/2012 8:11:44 AM
1001130|Athens Farmers Market|http://www.athensfarmersmarket.net|300 College Ave|Athens|Clarke|Georgia|30601|April - October Wednesday 4:00 PM to 7:00 PM|-83.376135|33.959513|Local government building grounds|Y|N|N|N|Y|Y|Y|N|Y|Y|N|Y|Y|Y|N|N|Y|N|Y|Y|Y|N|N|N|N|4/26/2012 6:42:20 PM
1001130|Athens Farmers Market|http://www.athensfarmersmarket.net|705 Sunset Dr.|Athens|Clarke|Georgia|30606|April - October Saturday 8:00 AM to 12:00 PM November - December Saturday 9:00 AM to 12:00 PM|-83.41338|33.96575|Other|Y|N|N|N|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|N|N|4/26/2012 6:42:20 PM
22003055|Athens Farmers Market||Jefferson St.|Athens||Illinois|62613||-89.723|39.9602||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22003060|Athens Farmers Market||409 Green Street, West|Athens|Limestone|Alabama|35612||-86.9735|34.8013||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1000539|Athens Farmers Market, LLC, Downtown|http://athensfarmersmarket.net|City Hall, Washington & Lumpkin|Athens|Clarke|Georgia|30601|April - October Wednesday 4:00 PM to 7:00 PM|-83.3773109|33.959038|Local government building grounds|Y|N|N|N|Y|Y|Y|N|N|Y|Y|Y|Y|Y|N|N|Y|N|N|N|Y|N|N|N|N|4/25/2012 12:53:06 PM
1002415|Athens Locally Grown|http://athens.locallygrown.net|670 W. Broad Street|Athens|Clarke|Georgia|30603|January - December Thursday 4:30 PM to 8:00 PM, (We take pre-orders all day on Monday and Tuesday through our website. Thursday is primarily for picking up those pre-orders.)|-83.383849|33.956318|Private business parking lot|N|N|N|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|N|5/7/2012 1:55:31 PM
1004028|Atherton Market|http://www.facebook.com/athertonmillandmarket|2104 South Boulevard|Charlotte|Mecklenburg|North Carolina|28203|January - December Tuesday 9:00 AM to 7:00 PM, Wednesday - Saturday 9:00 AM to 2:00 PM|-80.86127|35.20844|Other|Y|N|N|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|N|Y|N|Y|5/24/2012 1:29:06 PM
1002814|Athol Farmers Market|http://www.townofathol.org|Athol Uptown Common|Athol|Worcester|Massachusetts|1331|June - October Saturday 9:00 AM to 12:00 PM|-72.2158367|42.5892837|Other|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|N|Y|N|Y|Y|N|N|5/9/2012 9:33:33 PM
1004153|Atkinson NH Farmers Market|http://atkinsonfarmersmarket.org|4 Main|Atkinson|Rockingham|New Hampshire|3811|January - May Saturday 9:00 AM to 1:00 PM, (Held indoors at an handicap accessible building) June - October Wednesday 3:00 PM to 7:00 PM, (Indoor accessible restrooms available) November - December Saturday 9:00 AM to 1:00 PM, (Held indoors at an handicap accessible building)|-71.1171999|42.8196628|Local government building grounds|Y|N|N|N|N|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|N|5/25/2012 2:15:22 PM
22002219|Atlanta State Farmers Market||16 Forest Parkway|Forest Park|Clayton|Georgia|30927||-84.4009|33.6168||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
21001743|Atlantic City Farmers' Market|http://www.acsid.com|1200 Atlantic Avenue between North & South Carolina Avenues|Atlantic City|Atlantic|New Jersey|8401|January - December Thursday 10:00 am to 4:00 pm, Saturday 10:00 am to 4:00 pm|-74.4256|39.363|Local government building grounds|N|Y|N|Y|Y|Y|N|Y|Y|N|N|Y|Y|Y|N|N|N|N|Y|Y|N|Y|Y|N|N|1/20/2012 10:34:31 AM
21002535|Atlantic Farmers Market||1200 7th Street E.|Atlantic|Cass|Iowa|50022|January - December Tuesday 5:00 pm to 7:00 pm, Saturday 9:00 am to 11:00 pm|-94.9965|41.4043|Private business parking lot|N|Y|Y|Y|Y|Y|N|Y|Y|N|N|Y|Y|Y|Y|N|N|N|N|Y|N|N|Y|N|N|4/19/2011 2:04:01 PM
1001490|Atlantic Highlands Chamber of Commerce Farmers' Market|http://AtlanticHighlands.org|111 First Avenue|Atlantic Highlands|Monmouth|New Jersey|7716|May - September Friday 12:00 PM to 6:00 PM|-74.038861|40.412777||Y|N|Y|N|N|Y|N|N|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|N|N|Y|Y|N|4/30/2012 12:21:46 PM
1003897|Atlas Park Greenmarket|http://www.grownyc.org|Cooper & 80th St (Upper level SW Corner)|Queens|Queens|New York|11379|June - November Saturday 8:00 AM to 3:00 PM|-73.870053|40.709272|Private business parking lot|Y|Y|Y|Y|Y|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|5/22/2012 1:14:46 PM
22003820|Atmore Farmers Market||201 East Louisville Avenue|Atmore|Escambia|Alabama|36504||-87.4926|31.0243||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22004673|Attala County Farmers Market||515 Knox Road|Kosciusko|Attala|Mississippi|39090||-89.5801|33.0637||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
22003865|Attalla Downtown Farmers Market||5Th Avenue N.W.|Attalla|Etowah|Alabama|39554||-86.0927|34.026||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1004564|Attleboro Farmers Market|http://www.attleborofarmersmarket.com|74 North Main Street|Attleboro|Bristol|Massachusetts|2703|June - October Saturday 8:00 AM to 12:00 PM, (AFM is closed on Saturday September 29, 2012, we resume operation the following Saturday)|-71.2866259|41.9460744|Local government building grounds|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|Y|N|Y|Y|Y|N|6/1/2012 2:25:23 PM
1003754|Attleboro/Our Lady of LaSalette||947 Park Street|Attleboro|Bristol|Massachusetts|2703|June - October Friday 2:00 PM to 6:00 PM|-71.2603301|41.9310825|Faith-based institution (e.g., church, mosque, synagogue, temple)|Y|Y|N|Y|N|Y|N|N|N|Y|N|Y|Y|Y|Y|N|N|N|N|Y|N|N|Y|N|Y|5/19/2012 1:12:58 PM
1004063|Atwater Village Farmers' Market|http://www.farmernet.com|3250 Glendale Blvd.|Los Angeles|Los Angeles|California|90039|January - December Sunday 10:00 AM to 2:00 PM|-118.2603|34.11838|Private business parking lot|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|N|5/24/2012 3:59:18 PM
22003115|Auburn Dewitt Center Farmers Market|http://www.foothillfarmersmarket.com|DeWitt Center, B Avenue at First Street|Auburn|Placer|California|95602||-121.098|38.9218||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
21005863|Auburn Farmer's Market|http://www.cityofauburn-ga.org/|corner of Fourth Avenue and Mt. Moriah Road|Auburn|Barrow|Georgia|30011|January - December Wednesday 3:00 pm to 7:00 pm|-83.828|34.0137|Local government building grounds|N|N|N|N|N|Y|Y|Y|N|N|N|Y|Y|Y|Y|N|N|N|N|Y|N|N|Y|N|N|2/19/2012 12:03:16 PM
1003730|Auburn Farmers Co-op Market Inc.|http://Auburnfarmerscoopmarketinc.com|24 south street|Auburn|Cayuga|New York|13021|June - October Tuesday 7:00 AM to 2:00 PM, Thursday 7:00 AM to 2:00 PM, Saturday 7:00 AM to 2:00 PM|-76.566381|42.929932||Y|Y|N|Y|Y|Y|N|Y|Y|Y|N|Y|Y|Y|Y|Y|N|Y|N|Y|N|N|N|N|N|5/18/2012 5:41:54 PM
22001495|Auburn Farmers Market|http://www.auburnpres.org|Auburn Presbyterian Church|Auburn|Shawnee|Kansas|66402||-95.8156|38.9101||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22002226|Auburn Farmers Market||Courthouse Square|Auburn|Placer|Indiana|46706||-85.0514|41.3606||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22004017|Auburn Farmers Market||369 Southbridge St, Auburn Library Parking Lot, Rte 12|Auburn||Massachusetts|1501||-71.8358|42.2047||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1002450|Auburn Hills Farmers Market|http://www.auburnhills.org/farmersmarket|3308 Auburn Rd|Auburn Hills|Oakland|Michigan|48326|June - October Thursday 3:00 PM to 7:30 PM, (Market open June 7th through October 11th)|-83.2225|42.633|Other|N|N|N|N|Y|Y|N|Y|Y|Y|N|Y|Y|Y|Y|Y|N|N|N|Y|N|Y|Y|N|N|5/7/2012 3:17:23 PM
1000895|Auburn International Farmers Market|http://www.auburnfarmersmarket.org|23 A Street SW|Auburn|King|Washington|98001|June - September Sunday 9:00 AM to 2:00 PM, (Free parking in the Plaza garage.)|-122.2313|47.3069|Other|Y|Y|N|Y|N|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|N|Y|Y|N|Y|Y|Y|Y|Y|N|4/26/2012 2:04:56 PM
22001780|Auburn Lake of Pines Farmers Market|http://www.foothillfarmersmarket.com|Red Wagon Restaurant parking lot|Auburn|Placer|California|95603||-121.051|39.0214||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22001781|Auburn Marketplace Farmers Market||Lincoln Way & Cherry Ave.|Auburn|Placer|California|95603||-121.068|38.9007||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22000091|Auburn Old Town Farmers Market|http://www.foothillfarmersmarket.com|Auburn-Folsom Rd. & Lincoln Way|Auburn|Placer|California|95603||-121.076|38.8961||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Apr 26 2010 5:12PM
1004839|Audubon Farmers Market|http://audubonneighborhood.org/content/audubon-farmers’-market|Johnson Street NE and 27th Ave NE|Minneapolis|Hennepin|Minnesota|55418|June - September Thursday 4:00 PM to 7:00 PM|-93.237129|45.016819|Local government building grounds|N|N|N|Y|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|6/5/2012 11:15:49 PM
22003522|Audubon Farmers Market||City Park, east side|Audubon|Audubon|Iowa|50025||-94.9375|41.7386||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22000925|Augsburg Farmers Market|http://www.iatp.org/minimarkets|7th St S and 22 Ave S|Minneapolis|Hennepin|Minnesota|||-93.2407|44.9665||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Jun 4 2010 11:04PM
22001035|Augusta Farmers' Market at Mill Park|http://www.augustamaine.gov/index.asp?Type=B_BASIC&SEC={FFE91C07-6389-4065-B49A-6EEF08D7D3B5}&DE=|Mill Park, Rt. 104|Augusta|Kennebec|Maine|4330||-69.7725|44.3074||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1003191|Augusta State Farmer's Market|http://WWW.AGR.GEORGIA.GOV|1150 5TH STREET|AUGUSTA|Richmond|Georgia|30901|January - December Monday - Friday 7:00 AM to 7:00 PM, Saturday 7:00 AM to 3:30 PM|-81.9641247|33.462514|Federal/State government building grounds|Y|Y|Y|N|N|Y|Y|N|N|Y|Y|Y|Y|Y|Y|N|Y|N|Y|N|Y|N|N|Y|N|5/15/2012 10:17:18 AM
22000653|AUM Farmers' Market||7400 East Drive|Montgomery|Montgomery|Alabama|36117||-86.1743|32.3674||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|May 17 2010 1:46PM
1002874|Aurora Community Farmers Market||208 16th St.|Aurora|Hamilton|Nebraska|68818|June - October Saturday 7:00 AM to 11:00 AM|-97.9965419|40.8587442|Educational institution|N|N|N|Y|N|Y|N|Y|Y|Y|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|5/10/2012 3:47:37 PM
22001007|Aurora Farmers Market|http://www.denverfarmersmarket.com|333 North Havana Street|Aurora|Arapahoe|Colorado|||-104.867|39.7215||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1004718|Aurora Local Farmer's Market - Summer Market||Oak Street & Park Avenue|Aurora|Lawrence|Missouri|65605|May Wednesday 8:00 AM to 5:00 PM, Thursday 5:00 PM to 7:00 PM, (These hours are reserves for the sale of locally grown and produced goods only.) October Wednesday 8:00 AM to 5:00 PM, Thursday 5:00 PM to 7:00 PM, (These hours are reserves for the sale of locally grown and produced goods only.)|-93.720373|36.969899|Private business parking lot|Y|N|N|N|N|Y|N|Y|Y|N|N|Y|Y|Y|Y|N|N|Y|Y|Y|N|N|Y|Y|N|6/4/2012 4:31:43 PM
1003822|Aurora Local Farmers' Market||Park Ave. and Church St|Aurora|Lawrence|Missouri|65605|January - December Wednesday 8:00 AM to 1:00 PM, Thursday 5:00 PM to 7:00 PM, Saturday 7:00 AM to 12:00 PM, (Nov. Dec. Jan. Feb. sat. only till sellout)|-93.716598|36.970604||N|N|N|N|N|Y|N|Y|Y|Y|N|Y|Y|Y|Y|N|N|Y|Y|Y|N|N|Y|N|N|5/21/2012 12:38:39 PM
1003338|Aurora's Farmers Market Downtown|http://www.aurora-il.org|Wilder Promenade 350 N. River Street|Aurora|Kane|Illinois|60505|June - October Saturday 7:30 AM to 12:00 PM, (Open every Saturday June through October)|-88.313727|41.762477|Closed-off public street|Y|N|N|N|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|N|Y|Y|Y|N|Y|Y|Y|Y|7/10/2012 2:00:11 PM
1003339|Aurora's Farmers Market East|http://www.aurora-il.org|Spring Lake Park, 3500 McCoy Drive|Aurora|DuPage|Illinois|60506|July - September Wednesday 9:00 AM to 1:00 PM, (The Farmers Market East will be open July 11 through September 12)|-88.225536|41.754762|Local government building grounds|N|N|N|N|N|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|N|Y|Y|Y|N|Y|Y|Y|Y|7/10/2012 2:02:05 PM
1002321|Aurora's Farmers Market West|http://www.aurora-il.org/farmersmarket.php|1901 W. Galena Boulevard|Aurora|Kane|Illinois|60506|July - September Wednesday 2:00 PM to 6:00 PM|-88.36467|41.76465|Other|Y|N|N|N|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|N|Y|Y|N|N|Y|Y|Y|Y|7/10/2012 12:55:58 PM
21002276|Ausable Valley Farmers Market|http://www.facebook.com/pages/Ausable-Valley-Farmers-Market/124928937581337||Ausable Forks|Essex|New York|12912|January - December Friday 4:00 pm to 7:00 pm|-73.6676|44.4427|Local government building grounds|N|Y|Y|Y|N|Y|Y|Y|Y|N|N|Y|Y|Y|Y|Y|Y|N|N|Y|N|Y|N|N|N|4/18/2011 8:17:41 PM
22003199|Austin (Chicago) Farmers Market|http://www.cityofchicago.org/specialevents|5600 W. Madison St.|Chicago|Cook|Illinois|60644||-87.626|41.8851||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1003968|Austin Area Farmer's Market|http://austinafm.org|1301 18th Ave NW|Austin|Mower|Minnesota|55912|May - October Monday 3:30 PM to 6:00 PM, Saturday 9:30 AM to 11:30 AM November - December Thursday 3:30 PM to 6:00 PM|-92.9905106|43.6847889|Other|Y|Y|Y|Y|Y|N|N|Y|N|Y|N|N|Y|N|Y|N|Y|N|N|N|Y|N|N|N|N|5/23/2012 9:58:46 AM
